AHA_NAME,AHA_ID,ST_NAME,DIST_ID,DIST_NAME,RANK,TOTAL_ENROLLED_STUDENTS,ELEM,MIDD,HIGH,2.1.4.1.1,2.1.4.1.2,2.1.4.1.3,2.2.5.1,2.2.5.1.1,2.2.5.1.1.1,2.2.5.1.3,3.1.3.1.0,3.1.3.1.1,3.1.3.1.2,3.1.3.1.3,3.1.3.1.4,3.2.1.1,5.1.4.1,11.1.1,11.1.2
Greater Hartford,FDA06,Connecticut,0900510,BRISTOL SCHOOL DISTRICT,4,8449,3908,1894,2647,,,,,,,,,,,,,0,,,
Greater Hartford,FDA06,Connecticut,0901260,EAST HARTFORD SCHOOL DISTRICT,5,7156,3569,1423,2164,,,,,,,,,,,,,1,,,
Greater Hartford,FDA06,Connecticut,0901920,HARTFORD SCHOOL DISTRICT,1,20931,10628,4962,5341,,,,,,,,,,,,,1,,,
Greater Hartford,FDA06,Connecticut,0902670,NEW BRITAIN SCHOOL DISTRICT,2,10167,5449,2134,2584,,,,,,,,,,,,,1,,,
Greater Hartford,FDA06,Connecticut,0904920,WEST HARTFORD SCHOOL DISTRICT,3,10098,4823,2249,3026,,,,,,,,,,,,,1,,,
New Castle,GRA20,Delaware,1000080,APPOQUINIMINK SCHOOL DISTRICT,5,9214,4343,2215,2656,,,,,,,,,,,,,1,,,
Southern Delaware,GRA23,Delaware,1000170,CAPE HENLOPEN SCHOOL DISTRICT,5,4845,2442,1021,1382,,,,,,,,,,,,,1,,,
Southern Delaware,GRA23,Delaware,1000180,CAESAR RODNEY SCHOOL DISTRICT,2,7593,3539,1897,2157,,,,,,,,,,,,,1,,,
Southern Delaware,GRA23,Delaware,1000190,CAPITAL SCHOOL DISTRICT,3,6153,3207,1363,1583,,,,,,,,,,,,,1,,,
New Castle,GRA20,Delaware,1000200,CHRISTINA SCHOOL DISTRICT,1,16303,8871,3687,3745,,,,,,,,,,,,,1,,,
New Castle,GRA20,Delaware,1000230,COLONIAL SCHOOL DISTRICT,4,9711,5181,2583,1947,,,,,,,,,,,,,1,,,
Southern Delaware,GRA23,Delaware,1000680,INDIAN RIVER SCHOOL DISTRICT,1,8746,4653,1910,2183,,,,,,,,,,,,,1,,,
New Castle,GRA20,Delaware,1001240,BRANDYWINE SCHOOL DISTRICT,3,10801,5043,2515,3243,,,,,,,,,,,,,1,,,
New Castle,GRA20,Delaware,1001300,RED CLAY CONSOLIDATED SCHOOL DISTRICT,2,15970,7974,4205,3791,,,,,,,,,,,,,1,,,
Southern Delaware,GRA23,Delaware,1001620,SMYRNA SCHOOL DISTRICT,4,5116,2492,1237,1387,,,,,,,,,,,,,1,,,
Jacksonville,GSA05,Florida,1200060,BAKER,5,5050,2628,1125,1297,,,,,,,,,,,,,1,,,
Miami / Ft. Lauderdale,GSA07,Florida,1200180,BROWARD,2,258478,120171,58685,79622,,,,,,,,,,,,,1,,,
Jacksonville,GSA05,Florida,1200300,CLAY,2,35659,15845,8407,11407,,,,,,,,,,,,,1,,,
Southwest Florida,GSA11,Florida,1200330,COLLIER,2,43238,20868,9603,12767,,,,,,,,,,,,,1,,,
Miami / Ft. Lauderdale,GSA07,Florida,1200390,DADE,1,350239,164561,81870,103808,,,,,,,,,,,,,1,,,
Jacksonville,GSA05,Florida,1200480,DUVAL,1,125429,63288,27589,34552,,,,,,,,,,,,,1,,,
Tampa Bay,GSA12,Florida,1200810,HERNANDO,4,22616,10238,5370,7008,,,,,,,,,,,,,1,,,
Tampa Bay,GSA12,Florida,1200870,HILLSBOROUGH,1,197041,95653,45861,55527,,,,,,,,,,,,,1,,,
Orlando,GSA09,Florida,1201050,LAKE,4,41319,19969,9289,12061,,,,,,,,,,,,,1,,,
Southwest Florida,GSA11,Florida,1201080,LEE,1,83895,40820,18566,24509,,,,,,,,,,,,,1,,,
Jacksonville,GSA05,Florida,1201350,NASSAU,4,11115,5056,2675,3384,,,,,,,,,,,,,1,,,
Orlando,GSA09,Florida,1201440,ORANGE,1,180000,85672,40441,53887,,,,,,,,,,,,,1,,,
Orlando,GSA09,Florida,1201470,OSCEOLA,3,54783,25301,12694,16788,,,,,,,,,,,,,1,,,
Palm Beach,GSA10,Florida,1201500,PALM BEACH,1,176901,82805,39438,54658,,,,,,,,,,,,,1,,,
Tampa Bay,GSA12,Florida,1201530,PASCO,3,66659,31220,15670,19769,,,,,,,,,,,,,1,,,
Tampa Bay,GSA12,Florida,1201560,PINELLAS,2,103776,47771,23164,32841,,,,,,,,,,,,,1,,,
Orlando,GSA09,Florida,1201710,SEMINOLE,2,64344,28663,14789,20892,,,,,,,,,,,,,1,,,
Jacksonville,GSA05,Florida,1201740,ST. JOHNS,3,31580,14211,7440,9929,,,,,,,,,,,,,1,,,
Atlanta,GSA01,Georgia,1301230,CLAYTON COUNTY,5,51018,25268,11900,13850,,,,,,,,,,,,,1,,,
Atlanta,GSA01,Georgia,1301290,COBB COUNTY,2,107291,50007,24530,32754,,,,,,,,,,,,,1,,,
Atlanta,GSA01,Georgia,1301740,DEKALB COUNTY,3,98088,49337,21196,27555,,,,,,,,,,,,,1,,,
Atlanta,GSA01,Georgia,1302280,FULTON COUNTY,4,92604,43888,21005,27711,,,,,,,,,,,,,1,,,
Atlanta,GSA01,Georgia,1302550,GWINNETT COUNTY,1,162370,76005,38140,48225,,,,,,,,,,,,,1,,,
Hawaii,WSA06,Hawaii,1500030,HAWAII DEPARTMENT OF EDUCATION,1,182706,90908,39976,51598,,,,,,,,,,,,,1,,,
Boise,WSA01,Idaho,1600360,BOISE INDEPENDENT DISTRICT,2,25476,11981,5771,7724,,,,,,,,,,,,,1,,,
Boise,WSA01,Idaho,1600510,CALDWELL DISTRICT,5,5984,3070,1287,1627,,,,,,,,,,,,,1,,,
Boise,WSA01,Idaho,1600600,VALLIVUE SCHOOL DISTRICT,4,7430,3702,1731,1997,,,,,,,,,,,,,1,,,
Boise,WSA01,Idaho,1602100,MERIDIAN JOINT DISTRICT,1,36303,17263,8578,10462,,,,,,,,,,,,,1,,,
Boise,WSA01,Idaho,1602340,NAMPA SCHOOL DISTRICT,3,15556,7605,3619,4332,,,,,,,,,,,,,1,,,
Chicago,MWA01,Illinois,1709930,CITY OF CHICAGO SD 299,1,403004,204078,86265,112661,,,,,,,,,,,,,1,,,
Chicago,MWA01,Illinois,1713710,SD U-46,2,40687,19391,9119,12177,,,,,,,,,,,,,1,,,
Chicago,MWA01,Illinois,1731740,PLAINFIELD SD 202,4,28904,13430,6862,8612,,,,,,,,,,,,,1,,,
Chicago,MWA01,Illinois,1741690,INDIAN PRAIRIE CUSD 204,3,29286,13023,7029,9234,,,,,,,,,,,,,1,,,
Indianapolis,MWA04,Indiana,1801200,CARMEL CLAY SCHOOLS,4,15750,7342,3826,4582,,,,,,,,,,,,,1,,,
NW Indiana,MWA13,Indiana,1802490,CROWN POINT COMMUNITY SCH CORP,5,7733,3352,1812,2569,,,,,,,,,,,,,1,,,
NW Indiana,MWA13,Indiana,1803870,GARY COMMUNITY SCHOOL CORP,2,10215,5340,2010,2865,,,,,,,,,,,,,1,,,
NW Indiana,MWA13,Indiana,1804320,SCHOOL CITY OF HAMMOND,1,13742,7140,2842,3760,,,,,,,,,,,,,1,,,
Indianapolis,MWA04,Indiana,1804770,INDIANAPOLIS PUBLIC SCHOOLS,1,31999,17883,6855,7261,,,,,,,,,,,,,1,,,
NW Indiana,MWA13,Indiana,1805450,LAKE CENTRAL SCHOOL CORP,3,10037,4393,2407,3237,,,,,,,,,,,,,1,,,
Indianapolis,MWA04,Indiana,1805670,M S D LAWRENCE TOWNSHIP,5,14878,6700,3345,4833,,,,,,,,,,,,,1,,,
Louisville,GRA18,Indiana,1807410,NEW ALBANY-FLOYD CO CON SCH,5,11458,5109,2665,3684,,,,,,,,,,,,,1,,,
NW Indiana,MWA13,Indiana,1809150,PORTAGE TOWNSHIP SCHOOLS,4,8065,3520,1929,2616,,,,,,,,,,,,,1,,,
Indianapolis,MWA04,Indiana,1810650,HAMILTON SOUTHEASTERN SCHOOLS,2,19053,9257,4594,5202,,,,,,,,,,,,,1,,,
Indianapolis,MWA04,Indiana,1812810,M S D WAYNE TOWNSHIP,3,16276,7732,3512,5032,,,,,,,,,,,,,1,,,
Des Moines,MWA02,Iowa,1903690,ANKENY COMM SCHOOL DISTRICT,3,9133,4828,1980,2325,,,,,,,,,,,,,1,,,
Omaha,MWA07,Iowa,1908220,COUNCIL BLUFFS COMM SCHOOL DISTRICT,5,9472,4778,1943,2751,,,,,,,,,,,,,1,,,
Des Moines,MWA02,Iowa,1908970,DES MOINES INDEPENDENT COMM SCHOOL DISTRICT,1,33453,17440,6918,9095,,,,,,,,,,,,,1,,,
Des Moines,MWA02,Iowa,1926820,SOUTHEAST POLK COMM SCHOOL DISTRICT,5,6412,3192,1435,1785,,,,,,,,,,,,,1,,,
Des Moines,MWA02,Iowa,1930510,WAUKEE COMM SCHOOL DISTRICT,4,7116,3834,1656,1626,,,,,,,,,,,,,1,,,
Des Moines,MWA02,Iowa,1930930,WEST DES MOINES COMM SCHOOL DISTRICT,2,9346,4491,2050,2805,,,,,,,,,,,,,1,,,
Wichita,MWA10,Kansas,2003360,ANDOVER,4,5315,2335,1265,1681,,,,,,,,,,,,,1,,,
Wichita,MWA10,Kansas,2005460,DERBY,3,6781,3415,1477,1888,,,,,,,,,,,,,1,,,
Wichita,MWA10,Kansas,2006540,GODDARD,5,5314,2428,1247,1639,,,,,,,,,,,,,1,,,
Kansas City,MWA05,Kansas,2007950,KANSAS CITY,4,20499,11025,4359,4856,,,,,,,,,,,,,1,,,
Wichita,MWA10,Kansas,2009140,MAIZE,2,6958,3102,1670,2179,,,,,,,,,,,,,1,,,
Kansas City,MWA05,Kansas,2010140,OLATHE,1,28182,14011,6268,7696,,,,,,,,,,,,,1,,,
Kansas City,MWA05,Kansas,2011640,SHAWNEE MISSION PUB SCH,2,27760,13202,6034,8461,,,,,,,,,,,,,1,,,
Kansas City,MWA05,Kansas,2012000,BLUE VALLEY,3,21925,10001,5178,6730,,,,,,,,,,,,,1,,,
Wichita,MWA10,Kansas,2012990,WICHITA,1,49389,26118,10215,12585,,,,,,,,,,,,,1,,,
Cincinnati,GRA08,Kentucky,2100510,BOONE CO,2,19577,9697,4640,5235,,,,,,,,,,,,,1,,,
Louisville,GRA18,Kentucky,2100750,BULLITT CO,3,13033,6066,3006,3957,,,,,,,,,,,,,1,,,
Lexington,GRA17,Kentucky,2101860,FAYETTE COUNTY,1,38641,19911,8350,10368,,,,,,,,,,,,,1,,,
Louisville,GRA18,Kentucky,2102490,HARDIN COUNTY,2,14174,6571,3136,4453,,,,,,,,,,,,,1,,,
Louisville,GRA18,Kentucky,2102990,JEFFERSON COUNTY,1,99191,49034,21701,28294,,,,,,,,,,,,,1,,,
Lexington,GRA17,Kentucky,2103030,JESSAMINE COUNTY,5,7922,3940,1776,2196,,,,,,,,,,,,,1,,,
Cincinnati,GRA08,Kentucky,2103090,KENTON COUNTY,3,14607,7198,3311,4074,,,,,,,,,,,,,1,,,
Lexington,GRA17,Kentucky,2103210,LAUREL COUNTY,2,9460,4515,2228,2712,,,,,,,,,,,,,1,,,
Louisville,GRA18,Kentucky,2104530,OLDHAM COUNTY,4,12053,5501,2894,3646,,,,,,,,,,,,,1,,,
Lexington,GRA17,Kentucky,2104950,PULASKI COUNTY,4,8176,3966,1842,2358,,,,,,,,,,,,,1,,,
Lexington,GRA17,Kentucky,2105260,SCOTT COUNTY,3,8544,4310,1933,2298,,,,,,,,,,,,,1,,,
Baton Rouge,GSA02,Louisiana,2200039,ZACHARY COMMUNITY SCHOOL DISTRICT,4,5235,2538,1221,1476,,,,,,,,,,,,,1,,,
Baton Rouge,GSA02,Louisiana,2200090,ASCENSION PARISH,3,20465,9983,4704,5778,,,,,,,,,,,,,1,,,
Baton Rouge,GSA02,Louisiana,2200540,EAST BATON ROUGE PARISH,1,42854,23135,8683,11036,,,,,,,,,,,,,1,,,
